Bob,Estes,2011,1.0,12.0,,619104.0,0.08333333333333333
Bob,Estes,2012,2.0,23.0,70.92,1063269.0,0.08695652173913043
Bob,Estes,2013,2.0,18.0,70.42,769717.0,0.1111111111111111
Bob,Estes,2014,1.0,2.0,,156000.0,0.5
Bob,Estes,2016,,,,,
Bob,Estes,2017,,,,76930.0,
Bob,Estes,2018,,,,15431.0,
Bob,Gaus,2013,,,,,
Bob,Heintz,2010,1.0,3.0,,355047.0,0.3333333333333333
Bob,Heintz,2011,,,,,
Bob,May,2010,,,,,
Bob,May,2011,,,,6690.0,
Bob,May,2015,,,,,
Bob,Sowards,2010,,,,,
Bob,Sowards,2011,,,,,
Bob,Sowards,2012,,,,,
Bob,Sowards,2013,,,,,
Bob,Sowards,2014,,,,,
Bob,Sowards,2015,,,,,
Bob,Sowards,2018,,,,,
Bob,Tway,2010,,,,,
Bob,Tway,2013,,,,50000.0,
Bobby,Clampett,2010,,,,,
Bobby,Gates,2010,,,,34722.0,
Bobby,Gates,2011,3.0,29.0,71.43,699235.0,0.10344827586206896
Bobby,Gates,2012,1.0,29.0,71.22,550293.0,0.034482758620689655
Bobby,Gates,2013,1.0,20.0,72.2,320248.0,0.05
Bobby,Gates,2014,,,,10919.0,
Bobby,Gates,2017,,,,12352.0,
Bobby,Gates,2018,,,,16083.0,
Bobby,Hudson,2011,,,,,
Bobby,Hutcherson,2010,,,,,
Bobby,Massa,2013,,,,,
Bobby,Wyatt,2014,,,,20405.0,
Bobby,Wyatt,2015,,,,6000.0,
Bobby,Wyatt,2016,1.0,6.0,,353348.0,0.16666666666666666
Bobby,Wyatt,2017,,,,33139.0,
Bobby,Wyatt,2018,,,,,
Bong-Sub,Kim,2015,,,,,
Bong-Sub,Kim,2016,,,,,
Bong-Sub,Kim,2017,,,,,
Boo,Weekley,2010,3.0,27.0,70.48,1119396.0,0.1111111111111111
Boo,Weekley,2011,,,70.8,361197.0,
Boo,Weekley,2012,3.0,25.0,71.09,848347.0,0.12
Boo,Weekley,2013,4.0,27.0,70.71,2786662.0,0.14814814814814814
Boo,Weekley,2014,1.0,24.0,71.6,909340.0,0.041666666666666664
Boo,Weekley,2015,6.0,24.0,70.42,1689914.0,0.25
Boo,Weekley,2016,2.0,26.0,70.69,991660.0,0.07692307692307693
